N_pile,SPT_L_Dq,SPT_P_Dq,SPT_L_Mey,SPT_P_Mey,L,D,Dq,Mey,Qu
1,4.16,27.33,6.46,27.33,18.9,26,701.92,779.87,1115
2,6.04,27.33,7.94,27.33,21.12,26,750.27,825.58,1005
3,7.78,25.67,9.73,25.67,10.5,26,392.23,845.42,950
4,6.78,19.67,8.91,19.67,11.2,26,369.25,692.74,850
5,11.21,21,11.72,21,9.25,26,335.27,807.91,1000
6,2,12,7.33,12,3.3,26,148.33,469.01,1040
7,6.04,27.33,7.94,26,21.1,33,1050.89,1134.6,1830
8,4.55,15.33,5.33,14,39.9,33,1260.45,643.38,1115
9,14.63,10.33,14.1,10.75,9.9,33,450.46,803.12,900
10,10.4,23.33,11.75,20,11.5,33,557.41,1047.03,1080
11,1.62,16,2.57,14.5,23,33,977.98,575.28,1250
12,3.33,21,4.72,16.75,21.35,42,1478.57,1074.1,2030
13,5.7,34,9.92,31,12,42,1599.86,2024.13,2200
14,4.54,34,9.83,31,9.7,42,906.56,2021.46,1880
15,9.42,11,9.62,11.75,21.1,42,1123.42,948.15,5300
16,12,27.33,13.87,26,14.97,42,981.16,1869,1780
17,6.43,21.67,7.83,20.25,23.15,42,1565,1363.84,1820
18,10.48,25.67,11.83,24.2,23,50,1568.18,2265.8,3100
19,12.7,29.67,13.77,26.6,21.8,50,2369.42,2514.4,2700
20,7.31,34,9.94,27.2,18,50,2422.95,2443.32,2430
21,5.08,17,6.47,15.8,15.4,50,1479.56,1440.59,2610
22,2.27,18,3,12.2,13.1,50,1432.3,1050.81,2790
23,8.29,16.67,9.5,15.2,15.8,50,1479.95,1487.12,2350
24,2.06,17.33,2.94,12.2,26.5,50,1518.44,1049.1,2520
25,3.44,10.83,3.49,11.6,34,50,1679.44,1018.67,2600
26,4.67,23,6.22,16.2,34,50,1966.11,1464.41,2620
27,9.54,23.67,11.11,18.6,14,50,1748.17,1803.78,2850
28,8.68,43.33,10.77,34.8,29.5,50,3362.81,3065.61,4030
29,4.64,29.33,6.07,25.2,27.4,50,2587.63,2166.74,2940
30,10.35,34,11.41,29.2,38.85,50,2962.52,2645.66,8250
31,8.22,34,9.79,28.6,28.75,50,2873.25,2548.61,5950
32,3,34,5.15,26.2,26.4,50,2774.81,2216.87,2760
33,5.44,34,8,26,19.9,50,2502.54,2289.04,3140
34,4.4,17.67,6.24,15.4,16.5,50,1558.36,1402.03,2900
35,1.56,21,2.55,13.8,20.2,50,1340.94,1162.58,2650
36,2.57,34,8.89,23,9.4,50,2062.72,2080.87,2810
37,10,34,12.21,28.8,18.7,50,1584.41,2638.95,3600
38,7.35,24,8.71,23.2,28.4,50,2367.71,2091.18,2750
39,12.4,22,14,22,11.7,50,1570.01,2160.13,3050
40,10.18,18.33,11.38,17.2,12.95,50,1442.38,1702.39,2320
41,5.43,26,9.78,18,9.3,60,2305.3,2337.65,5000
42,12.47,28.33,13.71,24.5,21.4,60,3078.45,3194.32,3850
43,3.75,32,5.37,25.17,29.8,60,2583.65,3011.98,5000
44,3.44,34,5.48,22.17,27.1,60,3284.85,2676.23,3950
45,5.3,34,7.07,25,28.7,60,2596.21,3045.69,4900
46,4.3,29.33,5.66,23.5,29,60,3531.15,2832.39,3170
47,5.38,27.67,5.72,16.67,35.5,60,3740.07,2061.63,3850
48,5.47,4.33,5.33,5.17,21.25,60,1374.45,749.01,3230
49,3.79,34,5.6,23,30.1,70,4382.1,3713.48,4300
50,5.32,19.33,6.46,18.83,24,60,2572.96,2329.4,2740
51,6.29,18.67,8.89,21,9.4,17,239.8,465.11,575
52,6.29,18.67,8.89,18.67,9,20,297.4,509.02,770
53,7.25,20.67,10,20.67,10.3,23,413.13,652.22,1010
54,7.25,20.67,10,20.67,9.6,26,483.42,747.66,1200
55,7.25,20.67,10,19,9.6,33,707.31,958.78,1940
56,4.75,6,4.9,6,10,15,152.17,193.7,125
57,5.92,11.67,6.79,12,14,15,227.47,294.34,205
58,3.67,5.67,4.4,5.67,5,26,145.01,256.2,325
59,3.25,7,4.17,8,5.7,18,130.49,210.08,335
60,5.06,11.67,5.72,11.67,18.1,26,549.1,424.44,840
61,3.42,12.33,4.43,12.33,13.7,20,307.04,291.72,265
62,4.33,9,4.86,9,14,20,291.12,263.06,285
63,6.19,13.67,6.7,13.67,23.3,30,778.8,593.15,2720
64,3.94,4.33,3.95,4.5,20,18,329.16,167.76,540
65,4.5,13,5.5,15,12.3,18,251.64,322.5,675
66,6.43,34,11.89,40,8.6,16,286.18,688.78,650
67,5.33,31,10.63,31,8.2,20,380.87,717.61,1200
68,5.33,31,10.63,31,8.4,23,483.85,843.24,950
69,6.43,34,11.89,40,8.8,18,349,774.23,590
70,9.8,12.33,10.17,13,12,18,259.42,446.23,570
71,9.8,12.33,10.17,13,12,18,259.42,446.23,490
72,3,8.33,3.9,9,10,15,155.12,184.03,290
73,3.6,8,4.33,8,12,23,297.7,266.75,407
74,5.22,18.33,7.36,16.75,11.1,40,648.42,1069.3,820
75,6.5,25.67,8.5,25.67,12,30,519.31,988.15,560
76,9.08,19.33,10.36,19.33,14,25,483.02,699.39,780
77,1.04,1.67,1.14,1.5,13.5,50,604.76,153.1,600
78,1.5,15.67,2.72,10.8,27,50,1900.01,932.28,2280
79,1.5,15.67,2.72,13.13,27,39.8,1387.53,737.2,2070
80,6,11.67,7.1,11.67,10,23,289.63,413.11,320
81,7.25,13,8.7,14.5,10,18,216.96,416.21,305
82,5.57,10,6.89,9.5,8.75,15,154.13,279.85,275
83,8.83,21.33,9.79,21.33,13.5,25,492.18,721.02,600
84,9.2,9.67,8.83,9.67,11.5,20,253.42,394.21,272
85,9.08,9.33,8.86,9.33,13.5,25,374.37,456.73,800
86,7.4,15,9.08,15,11.5,20,286.93,468.95,650
87,3.5,4.67,3.25,5,3.5,15,53.88,135.69,20.5
88,4.8,10,5.58,10,12,25,310.23,368.74,500
89,3.63,9.67,4.8,9.67,10,25,266.38,338.01,360
90,3,2.67,2.75,3,4.4,15,60.95,106.11,55
91,3,2.67,3,2,3.4,15,52.15,106.76,53
92,3.3,16.67,5.08,16.67,12,20,263.89,366.39,284
93,5.08,22.33,7.36,22.33,14,25,424.77,665.67,530
94,17.33,21,18.63,21,7.7,30,490.4,1168.82,770
95,8.13,19.67,10.2,18,10.3,40,839.43,1219.71,1150
96,10.5,15,10.92,14.5,12,40,779.11,1065.91,1370
97,6.33,13.67,7.5,13.67,14,30,545.07,617.98,835
98,7.33,7.33,7.36,7.33,13.55,30,402.75,434.5,760
99,6.83,2.67,6.29,2.67,14,25,308.92,246.43,535
100,6.1,10,6.33,10,12.4,25,318.61,391.89,445
101,8.27,9,8.15,9,13,20,251.75,364.85,390
102,7.17,11.33,7.5,11.33,13.55,25,350.55,454.1,560
103,5.4,6.67,5.42,6.67,11.6,20,219.49,251.02,400
104,7.94,23.33,10.4,23.33,9,20,238.76,614.32,350
105,5.22,8.33,5.64,9,11.1,18,192.83,265.63,340
